Track Name,Album,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Intro,The College Dropout,2004-02-10,0.713,0.331,6,-13.909,1,0.877,0.237,0.0,0.51,0.463,87.491
We Don't Care,The College Dropout,2004-02-10,0.595,0.754,11,-5.827,0,0.181,0.0142,0.0,0.247,0.647,83.155
Graduation Day,The College Dropout,2004-02-10,0.418,0.447,0,-9.058,0,0.338,0.684,2.1e-06,0.414,0.869,169.336
All Falls Down,The College Dropout,2004-02-10,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
I'll Fly Away,The College Dropout,2004-02-10,0.239,0.25,6,-11.414,1,0.0289,0.76,0.0,0.124,0.564,172.338
Spaceship,The College Dropout,2004-02-10,0.507,0.753,5,-5.31,0,0.19,0.503,0.0,0.573,0.657,178.068
Jesus Walks,The College Dropout,2004-02-10,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312
Never Let Me Down,The College Dropout,2004-02-10,0.459,0.816,11,-4.872,0,0.403,0.423,0.0,0.169,0.643,80.293
Get Em High,The College Dropout,2004-02-10,0.614,0.644,11,-5.672,0,0.373,0.184,0.0,0.489,0.649,84.788
Workout Plan,The College Dropout,2004-02-10,0.715,0.288,1,-13.843,1,0.925,0.785,0.0,0.688,0.772,115.114
The New Workout Plan,The College Dropout,2004-02-10,0.704,0.792,2,-4.831,1,0.198,0.00981,0.0,0.365,0.646,118.022
Slow Jamz,The College Dropout,2004-02-10,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115
Breathe In Breathe Out,The College Dropout,2004-02-10,0.636,0.7,1,-3.099,0,0.421,0.341,0.0,0.161,0.924,88.817
School Spirit Skit 1,The College Dropout,2004-02-10,0.648,0.218,8,-15.108,1,0.95,0.326,0.0,0.352,0.642,164.25
School Spirit,The College Dropout,2004-02-10,0.483,0.787,5,-5.422,0,0.21,0.339,0.0,0.236,0.592,84.81
School Spirit Skit 2,The College Dropout,2004-02-10,0.716,0.308,5,-12.629,1,0.925,0.334,0.0,0.215,0.83,128.412
